"name","strain","species"
"ERR027294","Microti","Microti"
"SRR3745458","Dassie","Dassie"
"ERR552526","Caprae","Caprae"
"ERR161048","BCG","BCG"
"SRR7983756","BCG-Danish","BCG"
"ERR766257","BCG-Pasteur","BCG"
"ERR766251","BCG-Japan","BCG"
"ERR766266","BCG-Russia","BCG"
"ERR766254","BCG-Moreau","BCG"
"39-MBovis","Bovis-Wicklow","Bovis"
"59-6110","Bovis-Wicklow","Bovis"
"dog-1034","Dog","Bovis"
"cat-003488","Cat","Bovis"
"TB19-007986","Bovis-Monaghan","Bovis"
"049-2005-NI","Bovis-NI","Bovis"
"ERR400386","Bovis-UK","Bovis"
"T17","T17","Bovis"
"T35","T35","Bovis"
